latitude,longitude,altitude,geometry,osm_id,name,capacity,amenity,iscedlevel
18.6558243,-72.2565779,,Point,4177069521,Ecole Yahvé Nissi De Gérald Bataille,,school,
18.6556978,-72.2590498,,Point,4178808358,Institution Yague d'Haiti,,school,
18.6613032,-72.2696903,,Point,4178839256,Institution Mixte Yeshoua Hamashiah,,school,
18.6537871,-72.2550888,,Point,4178850220,I.M.S.J,,school,
18.6596485,-72.2677075,,Point,4178859022,Institution Mixte Jehovah Jireh,,school,
18.6728586,-72.2970626,,Point,4179103130,Institution Mixte Union Des Educateurs,,school,
18.6557809,-72.25766050000001,,Point,4181534904,Collège Sainte Thérèse D'Avila,,school,
18.6595084,-72.2608483,,Point,4181591524,Techno School,,college,
18.6491613,-72.2582331,,Point,4181851235,Centre de Formation,,college,
18.6589332,-72.2541926,,Point,4183704261,Eureka,,school,
18.6657867,-72.2628114,,Point,4183802369,Institution Mixte de Djouma,,school,
18.6585197,-72.2580046,,Point,4183876093,Ecole Mixte Frère Laurent,,school,
18.6576198,-72.2525234,,Point,4183876099,,,school,
18.6587418,-72.2579264,,Point,4183896628,Couture Chez Madame Laurent,,school,
18.6600767,-72.25536350000002,,Point,4184050742,Centre Professionnel Bon Samaritain Mahanaim,,school,
18.6645009,-72.27750490000001,,Point,4184056868,Institution Classique Communautaire de Canaan,,school,
18.6700004,-72.2823986,,Point,4184065266,Institution Mixte Nouvel Horizon,,school,
18.6682719,-72.2895846,,Point,4184225601,Collège Mixte Massillon Coicou,,school,
18.6681589,-72.2655403,,Point,4189824246,Collège Mixte Frère Devarceux,,school,
18.6667935,-72.2855456,,Point,4190139390,Collège Mixte Bethleem,,school,
18.6637498,-72.2828476,,Point,4190201907,Ecole Jardin de Canaan,,school,
18.6634022,-72.28261730000001,,Point,4190201908,Ecole Mixte Chrétienne Réunie,,school,
18.6527105,-72.251387,,Point,4195423523,Ecole Mixte Fondamentale Coeur de Jesus,,school,
18.6529425,-72.2536421,,Point,4195931267,Ecole Mixte La Rédemption,,school,
18.653626,-72.2411215,,Point,4197227076,Ecole du Bon Berger,,school,
18.6523097,-72.2543867,,Point,4197410982,Centre d'Education Communautaire de Corail Cesselesse,,school,
18.6548172,-72.25233510000001,,Point,4197717593,Institution Mixte de Réconfort,,school,
18.6501502,-72.2548059,,Point,4202350132,Collège Mixte De La Renommée De Voltaire,,school,
